id,event_time,username,role,action,detail
1,2026-03-13 10:50:26,system,service,API Started,http://127.0.0.1:8787
2,2026-03-13 10:55:39,system,service,API Started,http://127.0.0.1:8787
3,2026-03-13 10:55:39,system,service,API Started,http://127.0.0.1:8787
4,2026-03-13 10:56:49,system,service,API Started,http://127.0.0.1:8787
5,2026-03-13 10:56:49,system,service,Scheduler Stopped,Backup scheduler stopped
6,2026-03-13 10:56:50,system,service,API Stopped,Server stopped
7,2026-03-13 10:56:50,system,service,API Started,http://127.0.0.1:8787
8,2026-03-13 11:02:04,system,service,API Started,http://127.0.0.1:8787
9,2026-03-13 11:02:04,system,service,Scheduler Stopped,Backup scheduler stopped
10,2026-03-13 11:02:04,system,service,API Stopped,Server stopped
11,2026-03-13 11:02:04,system,service,API Started,http://127.0.0.1:8787
12,2026-03-11 22:14:04,Ishaan572,user,Generate Face,Automated schedule
13,2025-12-10 19:20:21,Aditya656,user,Settings Changed,From analytics panel
14,2025-12-17 05:30:43,Aarav875,user,Generate Face,Manual trigger
15,2025-12-25 05:57:42,shishir,admin,Attendance Marked,Batch execution
16,2026-03-12 19:29:15,Aditya246,user,Login,Manual trigger
17,2025-11-14 11:40:57,Aadhya440,user,Settings Changed,Batch execution
18,2025-12-24 13:02:21,Kabir32,user,Password Changed,Batch execution
19,2026-01-01 04:36:29,Ira967,user,Compare Faces,Automated schedule
20,2026-02-23 21:39:39,Myra116,admin,Attendance Marked,User initiated
21,2025-12-27 16:03:01,Riya897,user,Compare Faces,From analytics panel
22,2026-02-20 23:33:07,Aarav485,user,Export CSV,Manual trigger
23,2026-03-05 18:05:55,Aarav480,user,Logout,Batch execution
24,2026-02-10 07:59:41,Aditya340,user,Model Retrain,From desktop client
25,2025-12-14 05:18:41,Kabir308,user,Compare Faces,From analytics panel
26,2026-01-09 08:17:53,Riya941,user,Generate Face,From analytics panel
27,2026-01-26 00:27:31,shishir,admin,Export CSV,From desktop client
28,2026-01-10 01:51:16,Vihaan751,user,Model Retrain,Automated schedule
29,2026-02-15 10:29:49,Riya945,user,Settings Changed,Manual trigger
30,2026-02-23 00:08:59,Anaya293,user,Password Changed,Automated schedule
31,2026-01-05 22:13:44,Ira409,user,Login,User initiated
32,2026-02-21 22:30:14,Ira910,user,Compare Faces,From desktop client
33,2025-12-23 01:52:46,Avni300,user,Logout,User initiated
34,2026-02-17 08:55:07,Kiara397,user,Login,From desktop client
35,2026-03-12 16:51:30,Arjun893,user,Attendance Marked,From desktop client
36,2025-12-20 14:33:49,Ishaan969,user,Logout,Automated schedule
37,2025-12-04 14:03:34,Arjun116,user,Password Changed,Batch execution
38,2026-03-01 02:12:43,Riya897,user,Attendance Marked,User initiated
39,2025-11-16 15:40:27,Kabir793,user,Logout,From desktop client
40,2026-03-13 05:08:26,Diya283,user,Generate Face,User initiated
41,2026-02-03 06:09:47,Ira910,user,Compare Faces,Manual trigger
42,2025-11-14 02:39:23,Pari23,user,Export CSV,Automated schedule
43,2026-03-07 05:29:35,Kabir308,user,Settings Changed,Batch execution
44,2025-12-31 21:19:28,Ira249,user,Login,Batch execution
45,2025-11-23 01:40:59,Vihaan485,user,Settings Changed,User initiated
46,2025-12-02 08:09:07,Arjun893,user,Password Changed,Manual trigger
47,2026-01-09 19:07:13,Aarav480,user,Settings Changed,From analytics panel
48,2026-02-21 20:23:19,Riya897,user,Generate Face,Manual trigger
49,2026-02-02 13:09:32,Kiara711,user,Model Retrain,User initiated
50,2026-03-12 09:25:06,Riya945,user,Login,Automated schedule
51,2026-01-17 01:47:35,Kabir793,user,Logout,User initiated
52,2026-02-02 07:54:01,Diya637,user,Settings Changed,User initiated
53,2026-01-04 04:44:54,Atharv900,user,Generate Face,Automated schedule
54,2025-11-13 14:00:27,Kiara14,user,Password Changed,Manual trigger
55,2026-03-12 13:15:47,Ishaan627,user,Password Changed,Automated schedule
56,2026-03-10 21:42:45,Diya283,user,Login,Manual trigger
57,2026-01-10 11:38:29,Aarav480,user,Attendance Marked,User initiated
58,2026-01-04 17:06:24,Diya59,user,Attendance Marked,From analytics panel
59,2026-01-26 18:12:15,Vihaan317,user,Generate Face,User initiated
60,2026-02-21 17:29:30,Reyansh444,user,Export CSV,User initiated
